task,rank,model,source,score
word_fmri,22,babylm-chinese-pythia-14M-epoch10,baseline,48.97
word_fmri,23,babylm-chinese-mamba-14m-epoch10,baseline,47.83
word_fmri,24,babylm-chinese-pythia-14m-epoch20,baseline,47.03
word_fmri,25,babylm-chinese-mamba-14m-epoch20,baseline,45.64
fmri,1,xlm-roberta-base,baseline,10.60
fmri,2,bert-base-chinese,baseline,10.50
fmri,3,Qwen3-0.6B,baseline,10.40
fmri,4,chinese-bert-wwm-ext,baseline,10.40
fmri,5,roc-bert-base-zh,baseline,9.90
fmri,6,babylm-chinese-mamba-14m-epoch10,baseline,9.73
fmri,7,babylm-chinese-bert-14m-epoch20,baseline,9.46
fmri,8,babylm-chinese-bert-14m-epoch10,baseline,9.27
fmri,9,babylm-chinese-mamba-14M-epoch3,baseline,9.13
fmri,10,babylm-chinese-mamba-14m-epoch20,baseline,9.07
fmri,11,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,9.00
fmri,12,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,9.00
fmri,13,babylm-chinese-bert-14M-epoch3,baseline,9.00
fmri,14,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,8.90
fmri,15,gpu3,candidate,8.85
fmri,16,gpu2,candidate,8.84
fmri,17,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,8.70
fmri,18,babylm-chinese-t5-14m-epoch10,baseline,8.39
fmri,19,babylm-chinese-pythia-14M-epoch3,baseline,8.30
fmri,20,babylm-chinese-t5-14M-epoch3,baseline,8.10
fmri,21,babylm-chinese-pythia-14m-epoch20,baseline,8.02
fmri,22,babylm-chinese-t5-14m-epoch20,baseline,7.99
fmri,23,babylm-chinese-pythia-14M-epoch10,baseline,7.96
fmri,24,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,7.80
fmri,25,ChineseBERT-base,baseline,4.70
afqmc,1,chinese-bert-wwm-ext,baseline,73.15
afqmc,2,xlm-roberta-base,baseline,73.03
afqmc,3,bert-base-chinese,baseline,72.75
afqmc,4,Qwen3-0.6B,baseline,71.57
afqmc,5,babylm-chinese-pythia-14M-epoch3,baseline,69.14
afqmc,6,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,69.05
afqmc,7,babylm-chinese-mamba-14m-epoch10,baseline,69.05
afqmc,8,gpu2,candidate,69.02
afqmc,9,babylm-chinese-t5-14m-epoch10,baseline,69.02
afqmc,10,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,69.00
afqmc,11,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,69.00
afqmc,12,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,69.00
afqmc,13,roc-bert-base-zh,baseline,69.00
afqmc,14,ChineseBERT-base,baseline,69.00
afqmc,15,babylm-chinese-t5-14M-epoch3,baseline,69.00
afqmc,16,babylm-chinese-bert-14M-epoch3,baseline,69.00
afqmc,17,babylm-chinese-bert-14m-epoch10,baseline,69.00
afqmc,18,babylm-chinese-pythia-14m-epoch20,baseline,69.00
afqmc,19,babylm-chinese-bert-14m-epoch20,baseline,69.00
afqmc,20,babylm-chinese-mamba-14m-epoch20,baseline,69.00
afqmc,21,babylm-chinese-t5-14m-epoch20,baseline,69.00
afqmc,22,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,68.98
afqmc,23,gpu3,candidate,68.95
afqmc,24,babylm-chinese-pythia-14M-epoch10,baseline,68.95
afqmc,25,babylm-chinese-mamba-14M-epoch3,baseline,68.90
ocnli,1,chinese-bert-wwm-ext,baseline,75.36
ocnli,2,Qwen3-0.6B,baseline,75.08
ocnli,3,bert-base-chinese,baseline,74.34
ocnli,4,xlm-roberta-base,baseline,73.93
ocnli,5,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,61.97
ocnli,6,babylm-chinese-bert-14m-epoch20,baseline,61.66
ocnli,7,babylm-chinese-mamba-14m-epoch20,baseline,61.25
ocnli,8,babylm-chinese-mamba-14m-epoch10,baseline,61.19
ocnli,9,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,61.15
ocnli,10,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,60.58
ocnli,11,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,60.47
ocnli,12,babylm-chinese-bert-14m-epoch10,baseline,60.07
ocnli,13,babylm-chinese-pythia-14m-epoch20,baseline,59.73
ocnli,14,babylm-chinese-pythia-14M-epoch10,baseline,59.66
ocnli,15,babylm-chinese-mamba-14M-epoch3,baseline,58.00
ocnli,16,gpu3,candidate,57.86
ocnli,17,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,57.66
ocnli,18,babylm-chinese-pythia-14M-epoch3,baseline,56.31
ocnli,19,gpu2,candidate,56.20
ocnli,20,babylm-chinese-bert-14M-epoch3,baseline,52.92
ocnli,21,babylm-chinese-t5-14m-epoch20,baseline,47.63
ocnli,22,babylm-chinese-t5-14m-epoch10,baseline,45.19
ocnli,23,babylm-chinese-t5-14M-epoch3,baseline,42.00
ocnli,24,roc-bert-base-zh,baseline,37.39
ocnli,25,ChineseBERT-base,baseline,37.39
tnews,1,chinese-bert-wwm-ext,baseline,58.32
tnews,2,Qwen3-0.6B,baseline,58.10
tnews,3,roc-bert-base-zh,baseline,57.57
tnews,4,bert-base-chinese,baseline,57.54
tnews,5,xlm-roberta-base,baseline,56.05
tnews,6,babylm-chinese-bert-14m-epoch20,baseline,54.96
tnews,7,babylm-chinese-bert-14m-epoch10,baseline,54.65
tnews,8,babylm-chinese-mamba-14m-epoch20,baseline,54.11
tnews,9,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,53.84
tnews,10,babylm-chinese-mamba-14m-epoch10,baseline,53.84
tnews,11,babylm-chinese-pythia-14M-epoch10,baseline,53.54
tnews,12,babylm-chinese-mamba-14M-epoch3,baseline,53.20
tnews,13,babylm-chinese-pythia-14m-epoch20,baseline,52.97
tnews,14,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,52.91
tnews,15,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,52.83
tnews,16,babylm-chinese-pythia-14M-epoch3,baseline,52.65
tnews,17,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,52.53
tnews,18,babylm-chinese-bert-14M-epoch3,baseline,52.18
tnews,19,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,51.62
tnews,20,babylm-chinese-t5-14m-epoch20,baseline,50.95
tnews,21,gpu2,candidate,50.25
tnews,22,gpu3,candidate,49.97
tnews,23,babylm-chinese-t5-14m-epoch10,baseline,47.94
tnews,24,babylm-chinese-t5-14M-epoch3,baseline,37.30
tnews,25,ChineseBERT-base,baseline,27.78
cluewsc2020,1,chinese-bert-wwm-ext,baseline,74.34
cluewsc2020,2,bert-base-chinese,baseline,72.37
cluewsc2020,3,Qwen3-0.6B,baseline,71.71
cluewsc2020,4,babylm-chinese-t5-14m-epoch20,baseline,65.46
cluewsc2020,5,babylm-chinese-pythia-14M-epoch10,baseline,64.47
cluewsc2020,6,babylm-chinese-bert-14m-epoch10,baseline,64.47
cluewsc2020,7,gpu2,candidate,64.14
cluewsc2020,8,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,63.82
cluewsc2020,9,babylm-chinese-bert-14m-epoch20,baseline,63.82
cluewsc2020,10,babylm-chinese-mamba-14m-epoch20,baseline,63.82
cluewsc2020,11,babylm-chinese-t5-14M-epoch3,baseline,63.80
cluewsc2020,12,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,63.49
cluewsc2020,13,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,63.49
cluewsc2020,14,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,63.49
cluewsc2020,15,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,63.49
cluewsc2020,16,xlm-roberta-base,baseline,63.49
cluewsc2020,17,roc-bert-base-zh,baseline,63.49
cluewsc2020,18,ChineseBERT-base,baseline,63.49
cluewsc2020,19,gpu3,candidate,63.49
cluewsc2020,20,babylm-chinese-mamba-14m-epoch10,baseline,63.16
cluewsc2020,21,babylm-chinese-bert-14M-epoch3,baseline,62.83
cluewsc2020,22,babylm-chinese-t5-14m-epoch10,baseline,62.83
cluewsc2020,23,babylm-chinese-pythia-14m-epoch20,baseline,62.83
cluewsc2020,24,babylm-chinese-mamba-14M-epoch3,baseline,62.50
cluewsc2020,25,babylm-chinese-pythia-14M-epoch3,baseline,61.84
mean,1,bert-base-chinese,baseline,59.00
mean,2,Qwen3-0.6B,baseline,58.79
mean,3,gpu2,candidate,58.42
mean,4,gpu3,candidate,58.32
mean,5,chinese-bert-wwm-ext,baseline,57.76
mean,6,xlm-roberta-base,baseline,56.94
mean,7,babylm-chinese-bert-14m-epoch20,baseline,53.91
mean,8,babylm-chinese-bert-14m-epoch10,baseline,53.48
mean,9,babylm-chinese-mamba-14M-epoch3,baseline,52.83
mean,10,Zh-Pythia-1.4B-v0.1-checkpoint-3000,baseline,51.14
mean,11,babylm-chinese-pythia-14M-epoch10,baseline,50.89
mean,12,babylm-chinese-pythia-14M-epoch3,baseline,50.82
mean,13,babylm-chinese-mamba-14m-epoch20,baseline,50.72
mean,14,babylm-chinese-mamba-14m-epoch10,baseline,50.59
mean,15,babylm-chinese-pythia-14m-epoch20,baseline,50.52
mean,16,Zh-Pythia-160M-v0.1-checkpoint-3000,baseline,50.30
mean,17,Zh-Pythia-410M-v0.1-checkpoint-3000,baseline,50.12
mean,18,babylm-chinese-bert-14M-epoch3,baseline,50.12
mean,19,babylm-chinese-t5-14m-epoch20,baseline,49.98
mean,20,Zh-Pythia-70M-v0.1-checkpoint-3000,baseline,49.35
mean,21,roc-bert-base-zh,baseline,48.79
mean,22,babylm-chinese-t5-14m-epoch10,baseline,47.48
mean,23,Zh-Pythia-14M-v0.1-checkpoint-3000,baseline,47.32
mean,24,babylm-chinese-t5-14M-epoch3,baseline,45.87
mean,25,ChineseBERT-base,baseline,45.86
